,time,wheel freq,motor current,motor rpm,motor torque,bamocar dc voltage,pack current,pack voltage,tractive voltage,left thermistor,right thermistor,middle thermistor,motor temperature,igbt temperature,pack power,real torque,motor power (w),controller efficiency
29671,63.08546,18.64779090881348,32.34971726837915,86.23923444975881,2116.783384080113,497.0,0.586090087890625,527.825498342514,526.22784948349,26.744122333409997,26.023365261466704,25.756360584308087,20.3467,22.02148640116597,308.41692655427323,26.84,242.39073861658738,0.7859190522538749
29672,63.08793,18.64779090881348,30.41583297085661,88.60287081339749,2022.1304915180367,497.0,0.640157401576185,527.7182899893437,526.1921133657665,26.37061821786981,25.836608863552577,25.56960418639396,20.3467,22.027820698562863,308.41692655427323,26.84,249.03415988138508,0.8074594434996474
29673,63.09205,18.64779090881348,27.190082644627548,92.5454545454552,1864.2479338842704,497.0,0.7303425563876456,527.5394647200882,526.1325049426814,26.19261509976407,25.43610908724519,24.9935162805878,20.3467,22.0383864092006,308.41692655427323,26.84,260.1154941368271,0.8433891649298103
29674,63.09357,18.64779090881348,26.0,94.0,1806.0,497.0,0.7636147494248654,527.4734903489066,526.1105134856208,26.685147999376785,25.37043803396349,24.96959187032146,20.3467,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29675,63.09617,18.64779090881348,26.0,94.0,1754.1130434782474,497.0,0.8205277111991063,527.3606394508327,526.0728965195962,27.52763848555716,25.258105969139443,24.928668536971102,20.34883652173913,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29676,63.09951,18.64779090881348,26.0,94.0,1687.458260869532,497.0,0.8936389774783258,527.2156694509991,526.0245731863183,27.563808019210803,24.964034345553177,24.71787392511709,20.351581130434784,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29677,63.10028,18.64779090881348,26.0,94.0,1672.0917391304893,497.0,0.9104939700036736,527.1822482234929,526.0134327771497,27.572146504514137,24.89623939041543,24.669277562504327,20.35221386956521,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29678,63.1044,18.64779090881348,26.0,94.0,1589.8708695652765,497.0,1.000679124815134,527.0034229542373,525.9538243540644,26.81562601313417,25.480602627341085,25.258105969139443,20.355599434782604,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29679,63.10699,18.64779090881348,26.0,94.0,1538.1834782609783,497.0,1.0573731905824817,526.8910060980792,525.9163520686784,26.368025939451204,25.31275259970997,25.05100816590759,20.35772773913043,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29680,63.10732,18.64779090881348,26.0,94.0,1531.597826086961,497.0,1.0645967588077865,526.8766827148619,525.911577607606,26.310995814231955,25.291366302752756,25.02462118711699,20.35799891304348,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29681,63.10766,18.64779090881348,26.0,94.0,1524.812608695631,497.0,1.0720392230398286,526.8619252897291,525.906658465895,26.252237503400707,25.269331936191037,24.997434602908815,20.358278304347827,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29682,63.10799,18.64779090881348,26.0,94.0,1518.2269565217557,497.0,1.0792627912649777,526.8476019065121,525.9018840048227,26.195207378182683,25.247945639234278,24.971047624118786,20.35854947826087,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29683,63.10852,18.64779090881348,26.0,94.0,1507.6500000000638,497.0,1.0908642796265948,526.8245976849818,525.8942159309793,26.1036135407112,25.213597950182468,24.928668536971102,20.358985,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29684,63.11264,18.64779090881348,26.0,94.0,1425.4291304348512,497.0,1.1810494344380555,526.6457724157262,525.834607507894,27.17163224934567,26.86013403209116,26.54862133597556,20.36237056521739,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29685,63.11657,18.64779090881348,26.0,94.0,1347.0,497.0,1.2670755651199417,526.4751939428681,525.7777480169414,27.67370324515185,25.81414598437803,25.25161140325984,20.3656,22.042284438367915,308.41692655427323,15.86,156.12039972259356,0.5061991942751576
29686,63.11682,18.64779090881348,25.847759895610388,93.66289691170871,1353.524575902412,497.0,1.27254796529041,526.4643428949768,525.7741310009776,27.705641603662908,25.747607304499702,25.16910441008657,20.3656,22.042284438367915,308.41692655427323,15.86,155.56052026629828,0.5043838611721713
29711,63.16892,24.05873107910156,16.43323183992822,74.36015658981606,3592.270552413908,497.0,0.1328277587890625,517.8401341438293,526.8269720077515,26.90376347938059,25.764891550341755,25.45295165753853,20.3656,22.012812342492907,69.9772459614178,7.32,57.00067448561408,0.8145601288316149
29712,63.17028,24.05873107910156,17.379730317525954,76.78555893866026,3672.604610700016,497.0,0.1365752698961796,518.1504985658376,526.780747093657,26.81562601313417,26.014611981658323,25.65860574544683,20.3656,22.012812342492907,69.9772459614178,7.32,58.8598632786894,0.8411286050202947
29713,63.1744,24.05873107910156,20.247063940840675,84.13310134840422,3915.969551978852,497.0,0.1479280241324619,519.0907201972167,526.6407127950768,26.593129354932536,25.16910441008657,24.86382079335441,20.3656,22.012812342492907,69.9772459614178,7.32,64.49211168124882,0.9216154593566996
29751,63.2545,23.89802360534668,51.0,165.0,6550.0,497.0,1.9127446646530508,526.8141086058558,524.8556103598065,27.80688146407841,25.30661290156725,25.00169473588608,20.3656,22.086467284309947,961.732987227997,31.11,537.5422109924815,0.5589308239720875
29752,63.25674,23.89802360534668,51.0,158.95911265767603,6574.066115702484,496.9025663331883,1.9798431451490413,526.8033571057639,524.8771115502782,27.92815274072563,25.258105969139443,24.961087134032127,20.3656,22.086467284309947,961.732987227997,31.11,517.862017426728,0.53846756251895
29753,63.26043,23.89802360534668,51.0,149.00782949108495,6613.710743801646,496.7420617659852,2.090375909894612,526.7856459292733,524.9125309220818,28.00786530211033,25.258105969139443,24.93205203132457,20.3656,22.086467284309947,961.732987227997,31.11,485.44241284744544,0.5047579934287542
29754,63.26086,23.89802360534668,51.0,147.8481948673315,6618.330578512405,496.7233579817312,2.1032564217755807,526.7835820252378,524.9166583827526,28.0171542997785,25.258105969139443,24.928668536971102,20.3656,22.086467284309947,961.732987227997,31.11,481.66451854686443,0.5008297780605052
29828,63.41777,39.70386505126953,72.20530665506706,168.41061331013412,8157.695519791207,495.8973466724665,2.5123214721679688,525.6287269592285,524.4304819107056,27.162673735195863,26.65371741426088,26.302570909370544,20.3467,22.13061979134227,1317.537960363661,43.92,774.5695267022832,0.5878916205863927
29829,63.42144,39.70386505126953,72.52457590256594,169.04915180513188,8163.442366246187,495.737712048717,2.542638229425734,525.6821602438953,524.3770486260388,26.726624454081307,26.05912000061529,25.747607304499702,20.3467,22.13061979134227,1317.537960363661,43.92,777.5063514672448,0.5901206453684574
29830,63.42154,39.83483036745376,72.53327533710299,169.06655067420598,8163.598956067854,495.7333623314485,2.5434642991058096,525.6836161917065,524.3755926782276,26.737425614160895,26.052639304567546,25.738966376436032,20.3467,22.13061979134227,1317.537960363661,43.92,777.5863739404073,0.5901813817385431
29831,63.42556,45.09963607788086,72.88299260548028,169.76598521096057,8169.893866898645,495.5585036972599,2.576672300243722,525.742145293712,524.317063576222,27.17163224934567,25.79211532345668,25.39160106828821,20.3467,22.13061979134227,1317.537960363661,43.92,780.803277361426,0.5926229838158986
29832,63.42968,45.09963607788086,73.24140930839462,170.48281861678925,8176.345367551104,495.3792953458027,2.61070637106171,525.8021303435287,524.2570785264054,27.750149622619883,25.61411220535093,25.1245963911296,20.3467,22.13061979134227,1317.537960363661,43.92,784.1002032556071,0.5951253222633397
29833,63.4338,45.09963607788086,73.59982601130896,171.19965202261793,8182.796868203562,495.2000869943455,2.6447404418796987,525.8621153933454,524.1970934765886,27.349635367451416,25.836608863552577,25.43610908724519,20.3467,22.13061979134227,1317.537960363661,43.92,787.3971291497883,0.5976276607107809
29834,63.43791,45.09963607788086,73.95737277076996,171.91474554153993,8189.23270987386,495.021313614615,2.6786919057297145,525.9219548483811,524.137254021553,26.904627572187053,25.61411220535093,25.258105969139443,20.3467,22.13061979134227,1317.537960363661,43.92,790.6860527966566,0.600123925521216
29835,63.4384,45.09963607788086,74.0,172.0,8190.0,495.0,2.682739647161944,525.9290889926554,524.1301198772787,26.883457298431797,25.64057418654477,25.300446516649963,20.3467,22.13061979134227,1317.537960363661,45.14,813.052556329448,0.6170999096716976
29836,63.43953,45.09963607788086,74.0,172.0,8188.23053501523,495.0491518051325,2.6920742345464577,525.9455412029206,524.1136676670135,26.83463605487383,25.70159875542026,25.39808900376589,20.3467,22.1342334393574,1317.537960363661,45.14,813.052556329448,0.6170999096716976
29837,63.43986,45.09963607788086,74.0,172.0,8187.713788603738,495.0635058721184,2.6948002644906603,525.9503458306973,524.1088630392368,26.820378523569016,25.719420089693976,25.42660406637552,20.3467,22.13528875249458,1317.537960363661,45.14,813.052556329448,0.6170999096716976
29838,63.44019,45.09963607788086,74.0,172.0,8187.197042192258,495.077859939104,2.6975262944348044,525.9551504584738,524.1040584114603,26.80612099226451,25.73724142396731,25.455119128984528,20.3467,22.136344065631743,1317.537960363661,45.14,813.052556329448,0.6170999096716976
29839,63.44053,45.09963607788086,74.0,172.0,8186.664636798607,495.0926489778165,2.7003349313469798,525.9601006810316,524.0991081889025,26.791431414556698,25.75560279867334,25.484498284400157,20.3467,22.13743135795489,1317.537960363661,45.14,813.052556329448,0.6170999096716976
